,group1,group2,weight
0,19292162,535553,2
1,19292162,19194894,1
2,19292162,19728145,1
3,19292162,18850080,2
4,19292162,1728035,1
5,19292162,22817838,2
6,19292162,19997487,2
7,19292162,18855476,2
8,19292162,18955830,1
9,19292162,11294262,1
10,19292162,1360698,2
11,19292162,1179719,1
12,19292162,1457232,1
13,19292162,13560402,1
14,19292162,7151442,1
15,19292162,18506072,1
16,19292162,16477792,2
17,19292162,20947040,1
18,19292162,5618532,1
19,19292162,11625832,5
20,19292162,18837102,1
21,19292162,7130232,1
22,19292162,3173762,1
23,19292162,16487812,5
24,19292162,7836842,6
25,19292162,17467312,3
26,19292162,16447162,1
27,19292162,9376702,3
28,19292162,6707902,2
